一龙	669	480	399	549	0.73	0.82	0.83
好家伙 电视剧	693	478	477	690	0.69	1.00	1.00
ufc	1404	476	355	959	0.37	0.68	0.75
尹素婉	1222	474	243	503	0.48	0.41	0.51
董明珠发飙视频	821	471	458	774	0.59	0.94	0.97
伊素婉	1134	471	285	520	0.55	0.46	0.61
政委电视剧	823	470	470	819	0.57	1.00	1.00
灵魂摆渡	1637	469	469	1626	0.29	0.99	1.00
托马斯和他的朋友们	908	468	444	824	0.54	0.91	0.95
奇异博士	1218	467	455	1174	0.39	0.96	0.97
wwe高柏	1030	465	328	640	0.51	0.62	0.71
出关	637	465	463	630	0.73	0.99	1.00
倒霉熊	836	462	457	821	0.56	0.98	0.99
吉他弹唱	1433	461	188	583	0.32	0.41	0.41
傻根进城 电视剧	1153	461	415	1123	0.37	0.97	0.90
她被称为最性感数学老师	3251	460	439	2895	0.15	0.89	0.95
充气娃娃实战视频播放	1384	457	379	1155	0.33	0.83	0.83
梦幻西游	1141	457	440	1071	0.41	0.94	0.96
2016英雄联盟全球总决赛	1128	456	405	995	0.41	0.88	0.89
宋小宝小品	785	456	351	587	0.60	0.75	0.77
植物大战僵尸	941	455	292	451	0.65	0.48	0.64
妖精的尾巴	920	454	450	893	0.50	0.97	0.99
隐藏的歌手	953	454	452	940	0.48	0.99	1.00
太行山上电视剧	670	452	452	666	0.68	0.99	1.00
寻情记	919	451	447	912	0.49	0.99	0.99
姑父性侵6岁侄女1年	1371	450	420	1248	0.34	0.91	0.93
王凯	1287	450	407	1135	0.36	0.88	0.90
2016珠海航展视频	909	449	377	738	0.51	0.81	0.84
粉红猪小妹	636	449	429	607	0.71	0.95	0.96
鲁豫有约大咖一日行	2749	449	343	2310	0.15	0.84	0.76
青云志55集预告	1306	448	441	1192	0.37	0.91	0.98
正阳门下电视剧全部	594	446	444	592	0.75	1.00	1.00
苹果 范冰冰版	968	445	433	888	0.49	0.92	0.97
如果爱	891	444	443	887	0.50	1.00	1.00
小沈龙	791	444	370	606	0.61	0.77	0.83
征服	704	444	444	688	0.65	0.98	1.00
千里雷声万里闪	767	440	435	759	0.57	0.99	0.99
今日关注	1364	439	423	1218	0.35	0.89	0.96
情谜睡美人	606	439	436	491	0.89	0.81	0.99
红色护卫	1227	437	433	1166	0.37	0.95	0.99
